analysis,n_sentences,human_mean_flag_share,model_mean_flag_share,rho,rho_p,tau_b,tau_p,concordance
P1 only,20,0.5192446633825946,0.15833333333333335,0.5970117064707168,0.005450100147679455,0.4999000299900035,0.006561358041999499,0.7049180327868853
P2 only,19,0.6447800535822314,0.07894736842105263,0.3707409960070194,0.11814578117909587,0.3045499589669568,0.12130030844726879,0.6128048780487805
P3 only,18,0.45418719211822656,0.1111111111111111,0.27658826100978906,0.266537357429371,0.2339234509260668,0.2452035296845344,0.5758620689655173
without P1,37,0.552059202059202,0.0945945945945946,0.33966081342158766,0.03970938039541561,0.2797225668641198,0.0398320770702365,0.5979623824451411
without P2,38,0.4884279664678937,0.13596491228070173,0.4674175581442025,0.003088178625527893,0.3805144698412036,0.0037271217714843832,0.6425406203840472
without P3,39,0.5804029304029303,0.11965811965811966,0.47541738117474364,0.0022233845070889946,0.38595224957672997,0.002914438393479015,0.6493055555555556
