model,mean_flag_share,rho,rho_p,tau_b,tau_p,concordance
claude,0.07017543859649122,0.2027738238615827,0.13034161913702091,0.16959804462675027,0.12916058878372422,0.5314322747893714
deepseek,0.14035087719298245,0.279792740265799,0.03504050174093074,0.23401591362320798,0.036279836869150435,0.5589760207388205
gemini,0.08771929824561403,0.22274266967763778,0.09583122791287285,0.1862997921174314,0.09554353691396368,0.5382372002592353
gpt,0.10526315789473684,0.12353946684642483,0.3599015485466729,0.10332720275417387,0.3552340047481889,0.5230071289695398
llama,0.24561403508771928,0.6041416854506676,6.497778303046163e-07,0.5052982016055705,6.155330622616841e-06,0.6578094620868438
qwen,0.05263157894736842,0.028696691309312714,0.8321858747993917,0.024001632166482868,0.8299650646896229,0.5038885288399222
