panel,n_models,mean_flag_share,rho,rho_p,tau_b,tau_p,concordance
all six,6,0.11695906432748537,0.4292621729004445,0.0008623261538858136,0.3484018639344961,0.0010964735079701472,0.6292935839274141
minus claude,5,0.1263157894736842,0.43053887363004933,0.0008288640534359413,0.349480688938631,0.0010648259909980004,0.6296176279974076
minus deepseek,5,0.11228070175438597,0.44736066892769166,0.0004848949533659884,0.3651966730969464,0.0007148165470482215,0.6315618924173687
minus gemini,5,0.12280701754385963,0.4302896348295143,0.000835303059401611,0.3505609066769426,0.0010337553017477424,0.6299416720674011
minus gpt,5,0.1192982456140351,0.5052264602890502,6.116991982227198e-05,0.4164065545453364,0.0001003710384497759,0.6467919637070642
minus llama,5,0.0912280701754386,0.19025532110920057,0.15631973081788467,0.15090081386941487,0.1642858769088653,0.5463383020090732
minus qwen,5,0.12982456140350876,0.4128869031831878,0.001413511908266795,0.33475145889362223,0.0017504463443048705,0.6221646143875567
closed-weight only,3,0.08771929824561403,0.0952856683050797,0.4807729607545157,0.07283231587562157,0.5060829126889531,0.5187945560596241
open-weight only,3,0.14619883040935672,0.509919490011422,5.08539124603159e-05,0.4203509101305446,9.554708572776922e-05,0.6471160077770577
