category,human_k,human_95%_CI,human_pairwise,human_alpha,model_k,model_95%_CI,model_pairwise,model_alpha
RB,0.04266230433654507,"[0.016, 0.070]",0.5947787732421731,0.04333039190792343,-0.017981651376148475,"[-0.056, 0.037]",0.9146198830409356,-0.01500509683995932
LEB,0.03121663375161907,"[0.010, 0.051]",0.5770716702356146,0.03245040405984079,0.3699432176656152,"[0.086, 0.638]",0.9146198830409357,0.37178548895899055
M,0.06232386908462816,"[0.003, 0.124]",0.7835639545863383,0.06554881762398157,0.21245202558635523,"[-0.009, 0.389]",0.968421052631579,0.2147547974413646
Any bias / No Bias,0.0833972809285694,"[0.049, 0.116]",0.5446665834445629,0.08405657604423111,0.3884768211920526,"[0.114, 0.587]",0.8736842105263157,0.3902649006622516
